donor,donation_full_name,event_name,institution,donorgroup,donation_type,amount_exact,amount_range_low,amount_range_high,amount_other,donation_date_start,donation_date_end,collection_date,data_source_name,data_source_url,donation_class,donation_list,event_date_title
The Charmer Sunbelt,,,The Metropolitan Museum of Art,Contributors to the Museum: Corporate Patrons,u,,,,,2009-07-01,2010-06-30,2017-01-21,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Corporate Patrons,2009-2010 Annual Report: Corporate Patrons,In the Met's 2009-2010 fiscal year
Group,,,The Metropolitan Museum of Art,Contributors to the Museum: Corporate Patrons,u,,,,,2009-07-01,2010-06-30,2017-01-21,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Corporate Patrons,2009-2010 Annual Report: Corporate Patrons,In the Met's 2009-2010 fiscal year
CIT,,,The Metropolitan Museum of Art,Contributors to the Museum: Corporate Patrons,u,,,,,2009-07-01,2010-06-30,2017-01-21,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Corporate Patrons,2009-2010 Annual Report: Corporate Patrons,In the Met's 2009-2010 fiscal year
Citi,,,The Metropolitan Museum of Art,Contributors to the Museum: Corporate Patrons,u,,,,,2009-07-01,2010-06-30,2017-01-21,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Corporate Patrons,2009-2010 Annual Report: Corporate Patrons,In the Met's 2009-2010 fiscal year
Citi Foundation,,,The Metropolitan Museum of Art,Contributors to the Museum: Corporate Patrons,u,,,,,2009-07-01,2010-06-30,2017-01-21,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Corporate Patrons,2009-2010 Annual Report: Corporate Patrons,In the Met's 2009-2010 fiscal year
Colgate-Palmolive,,,The Metropolitan Museum of Art,Contributors to the Museum: Corporate Patrons,u,,,,,2009-07-01,2010-06-30,2017-01-21,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Corporate Patrons,2009-2010 Annual Report: Corporate Patrons,In the Met's 2009-2010 fiscal year
Condé Nast,,,The Metropolitan Museum of Art,Contributors to the Museum: Corporate Patrons,u,,,,,2009-07-01,2010-06-30,2017-01-21,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Corporate Patrons,2009-2010 Annual Report: Corporate Patrons,In the Met's 2009-2010 fiscal year
Con Edison,,,The Metropolitan Museum of Art,Contributors to the Museum: Corporate Patrons,u,,,,,2009-07-01,2010-06-30,2017-01-21,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Corporate Patrons,2009-2010 Annual Report: Corporate Patrons,In the Met's 2009-2010 fiscal year
Corning Incorporated,,,The Metropolitan Museum of Art,Contributors to the Museum: Corporate Patrons,u,,,,,2009-07-01,2010-06-30,2017-01-21,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Corporate Patrons,2009-2010 Annual Report: Corporate Patrons,In the Met's 2009-2010 fiscal year
Credit Agricole Corporate and Investment Bank,,,The Metropolitan Museum of Art,Contributors to the Museum: Corporate Patrons,u,,,,,2009-07-01,2010-06-30,2017-01-21,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Corporate Patrons,2009-2010 Annual Report: Corporate Patrons,In the Met's 2009-2010 fiscal year
Credit Suisse,,,The Metropolitan Museum of Art,Contributors to the Museum: Corporate Patrons,u,,,,,2009-07-01,2010-06-30,2017-01-21,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Corporate Patrons,2009-2010 Annual Report: Corporate Patrons,In the Met's 2009-2010 fiscal year
CVJ,,,The Metropolitan Museum of Art,Contributors to the Museum: Corporate Patrons,u,,,,,2009-07-01,2010-06-30,2017-01-21,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Corporate Patrons,2009-2010 Annual Report: Corporate Patrons,In the Met's 2009-2010 fiscal year
"Davis Polk & Wardwell, LLP",,,The Metropolitan Museum of Art,Contributors to the Museum: Corporate Patrons,u,,,,,2009-07-01,2010-06-30,2017-01-21,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Corporate Patrons,2009-2010 Annual Report: Corporate Patrons,In the Met's 2009-2010 fiscal year
Deutsche Bank,,,The Metropolitan Museum of Art,Contributors to the Museum: Corporate Patrons,u,,,,,2009-07-01,2010-06-30,2017-01-21,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Corporate Patrons,2009-2010 Annual Report: Corporate Patrons,In the Met's 2009-2010 fiscal year
Diageo,,,The Metropolitan Museum of Art,Contributors to the Museum: Corporate Patrons,u,,,,,2009-07-01,2010-06-30,2017-01-21,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Corporate Patrons,2009-2010 Annual Report: Corporate Patrons,In the Met's 2009-2010 fiscal year
The Echo Foundation,,,The Metropolitan Museum of Art,Contributors to the Museum: Corporate Patrons,u,,,,,2009-07-01,2010-06-30,2017-01-21,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Corporate Patrons,2009-2010 Annual Report: Corporate Patrons,In the Met's 2009-2010 fiscal year
