donor,donation_full_name,event_name,institution,donorgroup,donation_type,amount_exact,amount_range_low,amount_range_high,amount_other,donation_date_start,donation_date_end,collection_date,data_source_name,data_source_url,donation_class,donation_list,event_date_title
Judith L. Biggs Fund,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
The BIN Charitable Foundation,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
"Stephen & Mary Birch Foundation, Inc.",,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
Charles Bloom Foundation,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
"Edith C. Blum Foundation, Inc.",,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
Louise Bourgeois Trust,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
"René and Susanne Braginsky Foundation, Zurich",,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
"Cameron Family Foundation, Inc.",,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
The Margaret A. Cargill Foundation,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
Alan I. Casden Foundation,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
The Bonnie Cashin Fund,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
Alan and Elizabeth Chambers Fund of The Greater Cincinnati Foundation,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
The Chapman Family Charitable Trust,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
The Chisholm Foundation,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
"Louis & Virginia Clemente Foundation, Inc.",,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
"Karen B. Cohen Foundation, Inc.",,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
Steven A. and Alexandra M. Cohen Foundation,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
The Peter A. and Elizabeth S. Cohn Foundation,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
